time-in-milliseconds,percent-x,percent-y
3469,58.9276,62.3583
3485,57.8345,64.0590
3502,56.7413,66.0998
3519,55.6481,67.6871
3535,54.6070,69.0476
3551,53.7741,70.5215
3568,53.0453,71.8821
3585,52.0042,73.8095
3601,51.4836,74.9433
3619,50.9110,76.0771
3635,50.2863,77.2109
3652,49.6096,78.3447
3669,49.0370,79.5918
3686,48.4643,80.8390
3702,47.9438,82.1995
3719,47.4232,83.3333
3735,47.0068,84.4671
3751,46.6424,85.8277
3769,46.2780,86.8481
3785,45.9136,88.3220
3802,45.7054,89.0023
3818,45.6012,89.4558
3834,45.5492,89.4558
4001,45.5492,89.3424
4034,45.4971,89.3424
4051,45.4971,89.2290
4067,45.3930,89.1156
4084,45.1327,88.5488
4102,44.8725,88.2086
4117,44.5081,87.5283
4134,43.9355,86.6213
4152,43.1546,85.4875
4167,42.3217,84.0136
4184,41.3847,82.6531
4201,40.0833,80.6122
4219,39.2504,79.2517
4235,38.4175,77.6644
4252,37.6366,76.5306
4268,36.9079,75.1701
4285,35.9708,73.8095
4301,35.0338,71.6553
4318,33.9407,69.8413
4335,32.8995,68.1406
4351,31.9625,66.3265
4368,31.0776,64.6259
4384,30.2447,62.9252
4401,28.7871,60.0907
4418,27.7460,58.0499
4433,26.4446,55.7823
4451,25.2473,53.7415
4467,23.9979,51.8141
4484,22.9047,50.4535
4500,21.8116,48.8662
4517,20.8225,47.5057
4535,19.7293,46.1451
4550,18.6361,44.5578
4567,17.4909,43.0839
4584,16.4498,41.4966
4600,15.3566,40.0227
4618,13.8990,37.5283
4634,13.1182,35.9410
4650,12.2853,34.3537
4667,11.4524,32.8798
4684,10.7236,31.1791
4701,9.8386,29.8186
4718,9.0578,28.5714
4734,8.3811,27.5510
4751,7.6523,26.1905
4767,7.0796,25.2834
4784,6.6111,24.3764
4801,6.2467,23.5828
4817,5.7782,22.4490
4834,5.5180,21.7687
4850,5.2056,20.9751
4868,4.8412,20.2948
4883,4.2166,19.5011
4901,3.6960,18.8209
4917,3.0193,18.0272
4933,2.6028,17.5737
4950,2.2384,17.0068
4967,2.1864,16.8934
4984,2.1864,16.8934
5000,2.1343,16.7800
5350,2.1343,17.1202
5366,2.1864,17.9138
5384,2.2905,18.7075
5399,2.3946,19.8413
5417,2.4987,21.8821
5434,2.6549,23.2426
5450,2.7590,24.4898
5467,2.9672,26.1905
5484,3.1234,27.6644
5500,3.2795,29.3651
5517,3.5398,30.9524
5533,3.7480,32.4263
5549,3.9563,34.3537
5566,4.1124,36.0544
5584,4.3727,37.6417
5600,4.6851,39.4558
5616,5.0495,41.2698
5633,5.6221,43.8776
5649,5.9865,45.8050
5667,6.3509,47.8458
5684,6.7153,49.7732
5700,7.0276,51.7007
5716,7.3399,53.6281
5733,7.6523,55.7823
5750,7.8605,57.8231
5767,8.1208,59.8639
5783,8.3811,61.7914
5800,8.5372,63.8322
5816,8.7454,65.6463
5833,9.0057,68.3673
5849,9.2140,70.1814
5867,9.3701,71.7687
5883,9.5783,73.3560
5900,9.7345,74.9433
5917,9.8907,76.6440
5933,10.0469,78.3447
5949,10.2030,79.8186
5966,10.4633,81.5193
5983,10.6195,82.9932
6000,10.7236,84.4671
6016,10.8798,85.4875
6032,10.8798,86.5079
6050,10.9318,87.5283
6066,10.9839,88.0952
6082,11.0359,88.5488
6099,11.0359,88.7755
6117,11.0359,88.7755
